"parameter","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"alpha1",0.207521722783607,0.162275585790094,-0.117376225399214,0.0968136876506719,0.21264426962708,0.326113563685867,0.505181211797231,1.19364784769585,12,1,0.878666666666667
"alpha2",-0.536432357452816,0.0545449127850614,-0.648715903943766,-0.572990248300184,-0.531787336879439,-0.497682347750507,-0.435482133419714,1.44877045128263,7,0,1
"alpha3",0.137014794013799,0.041435458373955,0.0568377318739172,0.109407977137254,0.137135098770157,0.164984388357908,0.213277234798233,1.00858932679949,178,0,1
"alpha4",-0.256253929280051,0.0632007978319232,-0.378708912400855,-0.298241499507035,-0.256224763285849,-0.216114474497262,-0.132146705623809,1.00182477083019,1500,0,1
"alpha5",10.1351516283205,0.0954661529321704,9.94384112830524,10.0699128016591,10.1367214505633,10.2009188211851,10.3136172790459,1.0307795523378,54,0,1
"alpha6",4.81535905165289,0.250495620625696,4.31385872142484,4.65671896040256,4.81953494752486,4.98280888585392,5.3026035297781,0.999781805152112,1500,0,1
"beta1w",-0.00511676427567672,0.000513235680162527,-0.00609683016964742,-0.00555824095812795,-0.00507230958683343,-0.00470192402506825,-0.00426983107894431,1.32480824071449,8,0,1
"beta21",1.21908308221253,0.12534144954062,0.987452996601614,1.13103668266076,1.21653280978551,1.30198556888683,1.47843266646524,1.00069814676661,1140,0,1
"beta31",-0.537761159430874,0.140416395317139,-0.830532374286594,-0.628909540893566,-0.536529379501759,-0.444150999452973,-0.27967550937035,1.00160594103083,1384,0,1
"beta32",0.901015837506592,0.074895440041057,0.7605395562949,0.850826426850187,0.898776359091524,0.94981879627346,1.05477165390209,1.00151136764704,1500,0,1
"beta41",0.521922208738112,0.172079598325594,0.17925485158787,0.407007173209091,0.526169631042937,0.628935993907811,0.869854470459362,1.00333028730376,622,0,0.998666666666667
"beta42",-0.508637961130563,0.0822693761406039,-0.675989642381854,-0.561721618249529,-0.506563027244246,-0.453899784767533,-0.346950388157053,1.00176976525495,994,0,1
"beta43",1.0610491076496,0.0822429641797382,0.895606213279599,1.00899714721547,1.05979178987134,1.1165016843983,1.21647302345108,1.00098549703663,1500,0,1
"beta51",1.73238501599346,0.207285944222327,1.33166136838385,1.59231387477264,1.72785813779081,1.8761422699219,2.12149699847546,1.10227998271566,20,0,1
"beta52",-1.50278670993967,0.12048123618022,-1.73155726028108,-1.58533647499982,-1.50302041094666,-1.42469137237375,-1.26679915257842,1.19394474773431,12,0,1
"beta53",0.927301047698762,0.101621951644719,0.730407538460139,0.857159468646517,0.926493558335361,0.999289304142523,1.12890433618585,1.01059392682048,141,0,1
"beta54",-1.06419068065881,0.112284226801141,-1.28490341486688,-1.14011313047078,-1.0654377029338,-0.989585767907535,-0.84274874364549,1.00134306936997,900,0,1
"beta61",1.19462217843261,0.274453307847718,0.699186928184791,1.0017628190054,1.18193726731115,1.37682797976387,1.76187423150771,1.00250430795216,482,0,1
